,2020-11,2012-01,2019-09,2020-04,2018-08,2012-07,2020-09,2014-07,2014-03,2017-01,2016-09,2019-05,2014-01,2016-12,2010-03,2010-07,2013-07,2015-08,2013-08,2012-11,2020-05,2017-08,2011-08,2012-12,2013-05,2019-02,2012-02,2010-01,2019-06,2017-07,2010-11,2018-04,2012-06,2019-01,2010-04,2018-12,2018-07,2013-03,2018-06,2019-04,2015-11,2016-04,2015-10,2014-06,2019-03,2020-07,2020-01,2020-08,2016-11,2018-03,2012-04,2010-02,2017-11,2019-11,2013-12,2015-01,2013-11,2011-12,2016-01,2018-10,2012-08,2014-11,2017-10,2018-01,2013-06,2012-03,2011-04,2015-02,2017-04,2012-05,2010-12,2011-05,2011-09,2017-06,2013-02,2011-10,2016-08,2015-04,2011-06,2016-03,2016-05,2020-03,2017-02,2013-10,2020-06,2014-08,2011-02,2019-07,2018-02,2014-02,2011-01,2016-10,2012-10,2012-09,2017-12,2013-01,2018-11,2011-11,2019-08,2015-09,2015-12,2010-06,2014-05,2020-10,2016-07,2016-02,2011-07,2016-06,2013-04,2015-06,2018-05,2010-09,2014-09,2017-09,2018-09,2014-04,2011-03,2010-08,2015-07,2019-12,2019-10,2017-05,2014-10,2015-05,2013-09,2015-03,2017-03,2020-02,2010-05,2010-10,2014-12,2020-12
critical,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
systematic approach,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communicates,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creative,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical mind,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people-oriented,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leadership,16.0,,2.0,1.0,13.0,3.0,5.0,5.0,1.0,1.0,5.0,8.0,2.0,6.0,2.0,2.0,7.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,7.0,2.0,3.0,5.0,16.0,3.0,9.0,7.0,7.0,3.0,4.0,1.0,9.0,4.0,4.0,5.0,4.0,7.0,5.0,6.0,4.0,11.0,6.0,8.0,11.0,4.0,4.0,20.0,5.0,6.0,5.0,12.0,9.0,19.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,10.0,1.0,3.0,5.0,4.0,12.0,3.0,3.0,4.0,3.0,3.0,2.0,6.0,3.0,2.0,6.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,10.0,4.0,12.0,6.0,6.0,1.0,9.0,4.0,7.0,3.0,2.0,3.0,2.0,4.0,1.0,8.0,6.0,2.0,4.0,13.0,10.0,3.0,8.0,4.0,1.0,11.0,2.0,3.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,
articulate,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communicates findings,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical thinking,7.0,3.0,13.0,4.0,5.0,3.0,6.0,15.0,3.0,8.0,1.0,9.0,2.0,12.0,5.0,5.0,9.0,2.0,3.0,1.0,13.0,6.0,3.0,6.0,5.0,5.0,3.0,1.0,4.0,14.0,1.0,4.0,1.0,3.0,4.0,2.0,6.0,5.0,4.0,5.0,8.0,11.0,9.0,7.0,2.0,7.0,6.0,2.0,8.0,8.0,4.0,6.0,5.0,5.0,2.0,6.0,4.0,1.0,1.0,8.0,4.0,8.0,3.0,13.0,4.0,7.0,4.0,,5.0,1.0,2.0,9.0,7.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,2.0,6.0,2.0,2.0,10.0,4.0,5.0,6.0,6.0,10.0,7.0,4.0,8.0,3.0,5.0,2.0,3.0,3.0,,6.0,7.0,3.0,5.0,1.0,7.0,9.0,9.0,2.0,4.0,3.0,6.0,7.0,9.0,2.0,4.0,,4.0,2.0,5.0,1.0,5.0,3.0,10.0,14.0,4.0,7.0,1.0,1.0,
problem solving,3.0,,5.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,,3.0,3.0,6.0,4.0,1.0,5.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,5.0,2.0,1.0,2.0,6.0,2.0,3.0,1.0,,1.0,5.0,4.0,3.0,2.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,1.0,4.0,3.0,1.0,2.0,6.0,7.0,2.0,3.0,2.0,5.0,1.0,2.0,5.0,1.0,4.0,2.0,,2.0,4.0,2.0,2.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,3.0,,3.0,2.0,3.0,8.0,2.0,3.0,1.0,3.0,3.0,7.0,1.0,2.0,4.0,3.0,,5.0,,8.0,3.0,4.0,1.0,2.0,8.0,3.0
passion for analysing,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolving complex problems,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intellectual curiosity,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision-making,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,1.0,2.0,,1.0,,4.0,,,4.0,2.0,,4.0,,,,2.0,,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,4.0,,,1.0,,,,,,1.0,,2.0,1.0,,1.0,1.0,4.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,,,,,,,4.0,1.0,2.0,3.0,,1.0,1.0,,,2.0,2.0,6.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,
make calculated-risk decisions,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meticulous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
detailed-oriented,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
willingness to learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
analytical approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
solving problems,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,
confidence,,,,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,,,1.0,1.0,2.0,3.0,1.0,,3.0,1.0,,3.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,3.0,,2.0,,1.0,2.0,,1.0,,,1.0,5.0,1.0,3.0,,,1.0,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,2.0,1.0,,,,,2.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,3.0,,1.0,,,1.0,,2.0,,2.0
creative mind,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communication,21.0,12.0,4.0,21.0,16.0,12.0,13.0,10.0,13.0,14.0,12.0,6.0,9.0,12.0,16.0,17.0,5.0,9.0,11.0,17.0,14.0,18.0,8.0,18.0,28.0,12.0,10.0,8.0,21.0,14.0,9.0,13.0,13.0,17.0,14.0,14.0,12.0,18.0,13.0,12.0,8.0,12.0,15.0,8.0,9.0,10.0,15.0,13.0,7.0,13.0,14.0,14.0,12.0,15.0,14.0,15.0,8.0,5.0,8.0,14.0,9.0,19.0,9.0,9.0,6.0,11.0,13.0,7.0,18.0,12.0,15.0,12.0,11.0,10.0,12.0,12.0,5.0,13.0,17.0,12.0,25.0,11.0,19.0,5.0,10.0,12.0,16.0,11.0,14.0,12.0,19.0,8.0,10.0,16.0,9.0,14.0,13.0,11.0,12.0,14.0,3.0,10.0,10.0,10.0,16.0,13.0,15.0,9.0,18.0,7.0,9.0,4.0,21.0,10.0,6.0,7.0,13.0,20.0,7.0,9.0,11.0,13.0,12.0,10.0,6.0,17.0,11.0,10.0,12.0,7.0,13.0,8.0
passionate about numbers,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
works with large,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solve problems,,,3.0,,2.0,1.0,,3.0,,,1.0,2.0,,,1.0,,,2.0,,,,1.0,,,,,,,1.0,,3.0,,2.0,2.0,,,2.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,4.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,,1.0,3.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,2.0,,,1.0,,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,1.0,4.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0
resolving complex business problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ability to communicate,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,2.0,,,1.0,
team player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
strong mindset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeline adherence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategic thinking,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
adaptable,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,
collaborative working,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
problem-solving,1.0,,2.0,3.0,,3.0,1.0,1.0,,,2.0,,1.0,,,2.0,,,,1.0,2.0,,,1.0,,,1.0,2.0,1.0,,,2.0,2.0,2.0,1.0,,,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,3.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,2.0,,,4.0,,2.0,,1.0,,1.0,,1.0,,3.0,,2.0,1.0,,,1.0,,3.0,1.0,,,,,1.0,,,1.0,3.0,,1.0,,,,1.0,3.0,2.0,2.0,1.0,,,,1.0,,3.0,,,,2.0
analytical thinker,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross-team collaboration,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountability,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,2.0,,2.0,,2.0,1.0,,2.0,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,2.0,,,,,,1.0,,,3.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,4.0,2.0,,,,2.0,1.0,,3.0,3.0,,,1.0,,
resolving problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
communicate effectively,,1.0,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,2.0,,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,,
solve issues,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leader,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global mindset,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communicate,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,
solving complex problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innovative mindset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communicates product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communicates with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excellent leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategic approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
futuristic mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
competence,3.0,,2.0,5.0,,4.0,1.0,3.0,1.0,1.0,1.0,,4.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,5.0,2.0,2.0,3.0,,3.0,3.0,2.0,1.0,,6.0,,1.0,1.0,4.0,2.0,2.0,,,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,4.0,,2.0,3.0,4.0,2.0,,,1.0,1.0,,5.0,,,5.0,3.0,,2.0,1.0,5.0,2.0,6.0,7.0,5.0,1.0,3.0,3.0,5.0,,,2.0,3.0,,,2.0,1.0,,1.0,1.0,1.0,,4.0,1.0,4.0,2.0,1.0,1.0,,1.0,2.0,2.0,,3.0,1.0,5.0,4.0,1.0,3.0,,5.0,1.0,1.0,3.0,1.0,7.0,4.0,9.0,5.0,2.0,1.0,3.0,1.0,4.0,3.0,,6.0,1.0
cross-cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
